iter	Logloss
0	0.6570804196
1	0.624002964
2	0.5992415792
3	0.5817992837
4	0.5681592767
5	0.5485736166
6	0.5364570727
7	0.5252210538
8	0.5147920136
9	0.5078856869
10	0.5010527133
11	0.4966599573
12	0.4899711403
13	0.4815625773
14	0.4750235516
15	0.4719460146
16	0.4633215826
17	0.4597128175
18	0.4561085519
19	0.45122744
20	0.4469806546
21	0.4444993544
22	0.4412501407
23	0.4383625094
24	0.4367608119
25	0.4336642687
26	0.4270554506
27	0.4241483568
28	0.4226777198
29	0.4195848761
30	0.4171726175
31	0.4147881686
32	0.4116189237
33	0.4103367996
34	0.4094557334
35	0.4084499999
36	0.4064366625
37	0.4051590972
38	0.4015289962
39	0.3975979172
40	0.3950057093
41	0.3923586021
42	0.3903937947
43	0.38750554
44	0.386237467
45	0.3820236581
46	0.378268953
47	0.3732923542
48	0.3701952151
49	0.368401828
50	0.3667117644
51	0.3633903602
52	0.3589780739
53	0.3583310289
54	0.3561978126
55	0.3518831178
56	0.3514591486
57	0.3471033657
58	0.3450073633
59	0.340852271
60	0.338186675
61	0.3364575514
62	0.3352295129
63	0.3312022763
64	0.3282000697
65	0.3248457044
66	0.3226392174
67	0.3216494267
68	0.3209350284
69	0.3187061401
70	0.3146579506
71	0.3126758992
72	0.3087926764
73	0.3044822041
74	0.3020756717
75	0.2998139329
76	0.2952577881
77	0.2916890242
78	0.2898236936
79	0.2874698475
80	0.2828036842
81	0.2803348172
82	0.2773170652
83	0.2749708877
84	0.2735057073
85	0.2685464821
86	0.2670203153
87	0.2654643678
88	0.2604916335
89	0.2562499931
90	0.254320547
91	0.2500848238
92	0.2483578084
93	0.2478253551
94	0.2454442226
95	0.2425406463
96	0.2414330374
97	0.2381070527
98	0.2358735471
99	0.2338896528
100	0.2325865001
101	0.2292737838
102	0.2267293672
103	0.2245845135
104	0.222380832
105	0.2213693299
106	0.2186115984
107	0.2158394615
108	0.2136398339
109	0.2119301418
110	0.2090148611
111	0.2063601754
112	0.2035971616
113	0.2021681396
114	0.200062042
115	0.1987446489
116	0.1973508445
117	0.1956303261
118	0.1955316446
119	0.1942189749
120	0.1927804529
121	0.1898038445
122	0.1881634933
123	0.1867592959
124	0.185264486
125	0.1838230489
126	0.1824880677
127	0.1802228536
128	0.1776310708
129	0.1762802303
130	0.1745653862
131	0.1744643137
132	0.1725402444
133	0.1717288053
134	0.171254625
135	0.1697086681
136	0.1694443636
137	0.1669543831
138	0.1664522504
139	0.1643396706
140	0.1635157079
141	0.1632531854
142	0.1616841458
143	0.1602586786
144	0.1588347691
145	0.1570216849
146	0.1558863325
147	0.1540909847
148	0.1519178859
149	0.1503997336
150	0.1502735635
151	0.1488724077
152	0.1474630512
153	0.1472351121
154	0.1471606458
155	0.1463886717
156	0.145581279
157	0.1438002884
158	0.1426051902
159	0.1416428407
160	0.1404656798
161	0.1396680148
162	0.1393439168
163	0.1377275743
164	0.1375487694
165	0.1367494577
166	0.1366041951
167	0.1358429052
168	0.1356812189
169	0.1346943763
170	0.1333098396
171	0.1328590078
172	0.1319321452
173	0.1306379369
174	0.1291000539
175	0.1285382296
176	0.1272666958
177	0.1257562506
178	0.124504338
179	0.1237260969
180	0.1232981192
181	0.12324311
182	0.1219844603
183	0.1208106432
184	0.1193917814
185	0.1184943072
186	0.1177860507
187	0.116806301
188	0.1154190333
189	0.1144321624
190	0.114078678
191	0.112907467
192	0.1121797568
193	0.111934412
194	0.1116885317
195	0.1102675223
196	0.1093587933
197	0.1083959696
198	0.1077267074
199	0.1065460422
