iter	Passed	Remaining
0	139	27690
1	144	14332
2	150	9874
3	155	7601
4	160	6260
5	165	5355
6	169	4684
7	174	4180
8	178	3796
9	183	3485
10	187	3223
11	192	3009
12	196	2826
13	201	2671
14	205	2534
15	210	2415
16	214	2310
17	218	2214
18	223	2130
19	227	2048
20	230	1967
21	233	1892
22	236	1821
23	239	1754
24	241	1692
25	244	1633
26	246	1578
27	248	1526
28	250	1478
29	252	1431
30	254	1387
31	256	1345
32	258	1306
33	259	1269
34	261	1232
35	263	1199
36	265	1167
37	266	1137
38	268	1108
39	270	1081
40	272	1055
41	273	1030
42	275	1006
43	277	983
44	279	961
45	280	940
46	282	919
47	284	900
48	286	881
49	287	863
50	289	846
51	291	830
52	293	813
53	295	798
54	296	782
55	298	768
56	300	753
57	302	739
58	303	726
59	306	715
60	308	702
61	309	689
62	311	677
63	313	666
64	315	654
65	316	643
66	318	632
67	320	622
68	322	611
69	323	601
70	325	591
71	327	582
72	329	572
73	331	563
74	332	554
75	334	546
76	336	537
77	338	529
78	340	520
79	341	512
80	343	504
81	345	496
82	347	489
83	348	481
84	350	474
85	352	467
86	354	460
87	355	453
88	357	446
89	359	439
90	361	432
91	362	426
92	364	419
93	366	413
94	368	407
95	370	401
96	371	394
97	373	388
98	375	383
99	377	377
100	379	371
101	381	366
102	382	360
103	384	355
104	386	349
105	388	344
106	390	339
107	392	334
108	394	329
109	396	324
110	398	319
111	400	314
112	401	309
113	403	304
114	405	299
115	407	295
116	409	290
117	411	285
118	413	281
119	414	276
120	416	271
121	418	267
122	420	262
123	421	258
124	423	254
125	425	249
126	427	245
127	429	241
128	430	237
129	432	232
130	434	228
131	436	224
132	438	220
133	440	216
134	442	212
135	443	208
136	445	204
137	447	201
138	449	197
139	451	193
140	452	189
141	454	185
142	456	181
143	458	178
144	459	174
145	461	170
146	463	167
147	465	163
148	467	159
149	468	156
150	470	152
151	472	149
152	474	145
153	476	142
154	477	138
155	479	135
156	481	131
157	483	128
158	485	125
159	486	121
160	488	118
161	490	115
162	492	111
163	494	108
164	495	105
165	497	101
166	499	98
167	501	95
168	503	92
169	505	89
170	506	85
171	508	82
172	510	79
173	512	76
174	514	73
175	516	70
176	518	67
177	520	64
178	522	61
179	523	58
180	525	55
181	563	55
182	567	52
183	569	49
184	570	46
185	572	43
186	574	39
187	577	36
188	581	33
189	584	30
190	586	27
191	587	24
192	589	21
193	591	18
194	593	15
195	595	12
196	598	9
197	599	6
198	601	3
199	603	0
